year,population,percentage,is_estimated
1960,88296070.00,0.00,false
1961,90791249.00,0.00,false
1962,93375850.00,0.00,false
1963,96051424.00,0.00,false
1964,98833749.00,0.00,false
1965,101365130.00,0.00,false
1966,103792754.00,0.00,false
1967,106526393.00,0.00,false
1968,109450006.00,0.00,false
1969,112517639.00,0.00,false
1970,115657495.00,0.00,false
1971,118833702.00,0.00,false
1972,122039841.00,0.00,false
1973,125288515.00,0.00,false
1974,128555045.00,0.00,false
1975,131843848.00,0.00,false
1976,135173655.00,0.00,false
1977,138533541.00,0.00,false
1978,141953163.00,0.00,false
1979,145434834.00,0.00,false
1980,148950540.00,0.00,false
1981,152485035.00,0.00,false
1982,156052152.00,0.00,false
1983,159651381.00,0.00,false
1984,163251124.00,0.00,false
1985,166776185.00,0.00,false
1986,170175065.00,0.00,false
1987,173511154.00,0.00,false
1988,176855065.00,0.00,false
1989,180201630.00,0.00,false
1990,183501098.00,0.00,false
1991,186778238.00,0.00,false
1992,190043744.00,0.00,false
1993,193305168.00,0.00,false
1994,196591828.00,0.00,false
1995,199888057.00,0.03,false
1996,203204348.00,0.06,false
1997,206536095.00,0.19,false
1998,209826788.00,0.26,false
1999,213004668.00,0.44,false
2000,216077790.00,0.93,false
2001,219097902.00,2.02,false
2002,222088495.00,2.13,false
2003,225048008.00,2.39,false
2004,227926649.00,2.60,false
2005,232050443.81,4.56,true
2006,235149865.41,6.13,true
2007,237062337.00,5.79,false
2008,240157903.00,7.92,false
2009,243220028.00,6.92,false
2010,246305322.00,10.92,false
2011,249470032.00,12.28,false
2012,252698525.00,14.52,false
2013,255852467.00,14.94,false
2014,258877399.00,17.14,false
2015,261331222.97,29.24,true
2016,264017040.35,32.94,true
2017,267346658.00,32.34,false
2018,269951846.00,39.90,false
2019,272489381.00,47.69,false
2020,274814866.00,53.73,false
2021,276758053.00,62.10,false
2022,278830529.00,66.48,false
2023,281190067.00,69.21,false
2030,295426123.34,1.#R,true
2035,303275102.44,160.42,true
